Partlist

Exported from Muntjac.sch at 20/04/2016 10:32:17

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value                          Device                         Package                    Library                                Sheet

SD1      MICRO_SD-SPI-MOLEX_503182-0853 MICRO_SD-SPI-MOLEX_503182-0853 MICRO_SD-MOLEX_503182-0853 glacsweb                               4
U1       CC2538                         CC2538                         QFN56                      arm-cores                              1
U2       CC1120_RHM_32                  CC1120_RHM_32                  RHM32_3P7X3P7              CC11x                                  2
U3       TPD2E001IDRLRQ1                TPD2E001IDRLRQ1                SOT50P160X60-5N            Texas Instruments_By_element14_Batch_1 3
U4       CP2103                         CP2103                         QFN50P500X500X100-29N      CC11x                                  3
U5       BSS138PS                       BSS138PS                       SOT65P210X110-6N           CC11x                                  5
U6       BSS138PS                       BSS138PS                       SOT65P210X110-6N           CC11x                                  5
U7       BSS138PS                       BSS138PS                       SOT65P210X110-6N           CC11x                                  3
U8       M25P16VMN6P                    M25P16VMN6P                    SOIC8                      CC11x                                  4
U9       DMG6602SVT                     DMG6602SVT                     TSOT26                     farnell-parts                          2
U10      DMG6602SVT                     DMG6602SVT                     TSOT26                     farnell-parts                          4
U11      SN74AVC4T774PW                 SN74AVC4T774PW                 SOP65P640X120-16N          CC11x                                  4
U12      TMP102AIDRLT                   TMP102AIDRLT                   SOT50P160X60-6N            CC11x                                  5
USR                                     KMR2X1G                        C&K-KMR-5MM                CC11x                                  5
X1       FA-128                         FA-128                         FA-128                     crystal                                2
X2       32MHz                          ABM8G-ABM8G                    XTAL-3.2X2.5               arm-cores                              1
X3       32.768K                        ABS07                          XTAL-3.2X1.5               arm-cores                              1
